20.0 ,7.0 ,0.0 ,,,,
30.0 ,7.0 ,0.0 ,,,,
30.0 ,7.0 ,-5.0 ,,,,
25.0 ,7.0 ,-5.0 ,,,,
25.0 ,7.0 ,0.0 ,,,,
25.0 ,43.0 ,0.0 ,,,,
25.0 ,43.0 ,-5.0 ,,,,
20.0 ,43.0 ,-5.0 ,,,,
20.0 ,43.0 ,0.0 ,,,,
30.0 ,43.0 ,0.0 ,,,,
30.0 ,43.0 ,-5.0 ,,,,
30.0 ,43.0 ,-5.0 ,27 ,9 ,,
30.0 ,43.0 ,0.0 ,,,,
40.0 ,43.0 ,0.0 ,,,,
40.0 ,43.0 ,-5.0 ,,,,
35.0 ,43.0 ,-5.0 ,,,,
35.0 ,43.0 ,0.0 ,,,,
35.0 ,20.0 ,0.0 ,,,,
34.9 ,18.4 ,0.0 ,,,,
34.5 ,16.9 ,0.0 ,,,,
33.9 ,15.5 ,0.0 ,,,,
33.1 ,14.1 ,0.0 ,,,,
32.1 ,12.9 ,0.0 ,,,,
30.9 ,11.9 ,0.0 ,,,,
29.5 ,11.1 ,0.0 ,,,,
28.1 ,10.5 ,0.0 ,,,,
26.6 ,10.1 ,0.0 ,,,,
25.0 ,10.0 ,0.0 ,,,,
23.4 ,10.1 ,0.0 ,,,,
21.9 ,10.5 ,0.0 ,,,,
20.5 ,11.1 ,0.0 ,,,,
19.1 ,11.9 ,0.0 ,,,,
17.9 ,12.9 ,0.0 ,,,,
16.9 ,14.1 ,0.0 ,,,,
16.1 ,15.5 ,0.0 ,,,,
15.5 ,16.9 ,0.0 ,,,,
15.1 ,18.4 ,0.0 ,,,,
